,video_id,video_views,video_likes,video_comments,video_duration
482,t1DLRteWIe8,2473181,50274,4302,PT9M21S
483,68H4AGHu5IY,242802,8618,577,PT10M52S
484,zqj08MeOyaQ,219746,8000,635,PT1M7S
485,nxhGzw0uWK0,100363,1924,78,PT3M42S
486,epQdnqubTA0,120323,1926,47,PT3M40S
487,MXyjWCgdlqs,667115,12620,682,PT5M39S
488,Ja5_Q10gfaI,255347,3766,210,PT9M59S
489,0X1qrbgdpl0,107621,2544,189,PT4M19S
490,uEkFjLQ1yho,3106081,65741,6339,PT10M38S
491,9oqtJq3eTsI,237651,7100,403,PT1M17S
492,7FlSikEIsgE,42521,719,47,PT1M50S
493,T5KsOIY9-bs,80529,1094,66,PT7M50S
494,kw9AF6GI7pA,615648,13984,596,PT4M9S
495,_yVhJYOr96g,93649,1361,95,PT6M9S
496,Z15FGy56YLs,71769,1065,123,PT4M42S
497,-11iag36wFU,2015193,47783,4224,PT10M18S
498,P-L1zLIjyuw,432877,7098,179,PT4M2S
499,LmXhdOYo2UI,51800,649,79,PT2M9S
500,UCjT-7WGHLg,60929,1319,121,PT2M12S
501,tpt4BkbVzC4,17020,359,39,PT3M40S
502,r6xsiEdMPw0,77257,1976,160,PT7M43S
503,dPZvTA5Bae8,115430,4853,350,PT4M16S
504,VwlBaDmFZDA,167297,2820,238,PT5M41S
505,Uf2ZkxXNxgI,614618,12910,469,PT3M47S
506,KUCX_TYKz8E,307305,3470,351,PT5M43S
507,5ddXD99B1h8,142215,3914,185,PT6M5S
508,0B4OC3MsqCE,3337140,74705,7095,PT11M22S
509,-gz3P5mK03k,90915,1684,86,PT1M4S
510,-x9WVIch4RE,37514,1633,172,PT6M37S
511,H0rXiENmbmA,15476,312,18,PT6M27S
512,kfPFqf2BdVk,111924,2049,111,PT4M15S
513,gDuiLjAlLkQ,187795,2766,126,PT7M8S
514,7AD4MmPoMlw,83122,1258,106,PT7M25S
515,2SbpnbK8h_s,254592,6185,451,PT8M16S
516,bncVV3kKGfQ,138087,4215,397,PT7M9S
517,UybTM3WJovs,1542846,31682,2258,PT10M34S
518,-mrl_kcqB-Q,190051,3336,201,PT56S
519,s_r9rWLlGIQ,104603,1912,179,PT7M24S
520,oyqvCbjRa2Q,139234,2295,231,PT3M33S
521,VDHi8-B8Iz0,137073,2772,208,PT9M50S
522,0xwTR8d768Q,586277,12676,543,PT6M14S
523,vR_RsLONzzs,1791961,39277,4718,PT9M55S
524,8mcmHRCjCpM,1002579,15909,702,PT1M38S
525,tNES61x2Dak,266864,3952,197,PT7M50S
526,ckYDdmwXScw,813325,14938,838,PT6M47S
527,ZXEF7RjDyow,347877,3948,237,PT6M1S
528,VwrEbCA_fT8,364054,4581,260,PT5M23S
529,vWN4pK7TT4o,1688946,35742,2446,PT11M27S
530,VB_gXGQnIs0,286914,6733,374,PT1M18S
531,3RBJRkjsBSU,205532,9073,630,PT3M39S
532,WLapN3yO1dw,53152,1517,84,PT3M55S
533,4e4DiyBDrBg,374002,7692,777,PT5M26S
534,xmrIFjR9lts,233477,5075,401,PT9M29S
535,VFGyR96PQzc,65894,1361,172,PT1M57S
536,ufN3zNE6TN0,25807,660,53,PT3M23S
537,ZnnqISYOavM,66573,1895,133,PT5M14S
538,H1qaq_I-T84,81680,1611,103,PT3M13S
539,i2U62rEty-Y,265077,6072,1186,PT4M51S
540,XXMkn6eldIc,749993,12670,3524,PT9M4S
541,OGK1XY4OqUY,135734,1917,181,PT7M55S
542,5EZZyqKAXiM,244366,4851,974,PT4M57S
543,yxRycNU2yEk,159523,4227,273,PT7M15S
544,UlEQuG_NYdc,1820351,35457,2560,PT10M38S
545,4pGG79VdNmU,123203,2167,123,PT1M13S
546,-pMozeLCL2Q,702204,14262,1047,PT3M52S
547,VZjM8J0hdWo,386501,5448,420,PT8M18S
548,NSeOiwVtGaQ,131196,2335,123,PT3M11S
549,7Kog5JW-7uk,81136,1207,69,PT7M1S
550,YHHyH6cu5Qs,2067829,36346,2729,PT11M36S
551,ZLXLOipfeSE,96332,2331,185,PT1M7S
552,rsaUsSu1in8,218266,3628,219,PT4M26S
553,M5_zemd7ffE,182878,2916,146,PT5M39S
554,atED43j1xi0,713778,14785,2105,PT7M55S
555,U-V881uFRqI,631849,13776,705,PT5M44S
556,eHpt311MzPE,1741954,30425,1815,PT10M22S
557,SKVMnmP-hng,123286,3659,155,PT1M11S
558,WfDNaTsbsD8,65573,614,30,PT2M20S
559,SUBOZ9hFFVg,70714,2288,109,PT5M8S
560,tBd9XRy5OPA,105850,2439,326,PT1M28S
561,tR4Red4E1zo,269247,4680,296,PT6M59S
562,nS3e4dX-QSM,673418,13085,648,PT5M7S
563,YTKs0JRVlrQ,199134,5258,364,PT10M5S
564,5ARGZGRYJ_g,315568,3854,232,PT5M2S
565,URHxV4yCOIw,68139,1820,211,PT7M37S
566,uZ2Rmsv9enU,1810874,36009,3173,PT9M50S
567,HIjf_vEbbv8,468055,14757,916,PT1M19S
568,aJjk-I3IuAA,96188,1731,109,PT2M30S
569,7quIPjqFhq0,274079,4970,289,PT3M43S
570,c66qGCDIKkY,133884,2679,390,PT10M43S
571,Kh_kbHt86rE,383010,5916,505,PT8M59S
572,GpWEjJNPIbI,139423,2536,166,PT4M6S
573,FpSvwglie84,515543,9523,705,PT3M56S
574,wV0a2ArlYpU,181417,4554,448,PT7M31S
575,_84Ov2NzTQ8,2672395,51523,4974,PT10M4S
576,ZDYbpf24eO0,185321,5854,443,PT58S
577,Ats3sY26kcM,173361,3818,225,PT2M31S
578,xq5pvGs9D6w,210980,2798,256,PT8M17S
579,gR1XCPo7oPI,96753,1348,68,PT6M13S
580,ZScJBaTUL1M,762830,13195,587,PT4M15S
581,LTCHYSQ9Q7A,91419,1368,65,PT5M14S
582,6cBNXGryZww,2468665,53183,6960,PT10M52S
583,8-Zk7iLrIQg,266063,7604,639,PT1M16S
584,jb_64MsF--c,32786,642,30,PT2M9S
585,tSoCtw5vNS0,99218,2336,228,PT3M37S
586,zgyOUkrJf6U,126070,1879,116,PT6M55S
587,QJv-Angc-QQ,250458,4980,675,PT9M22S
588,fMombMmsn_A,131384,1672,77,PT6M4S
589,QPbuah07wB0,605867,12679,829,PT4M10S
590,2YVZbbWGkYo,2144091,45134,4667,PT8M
591,23sRimLcTBk,310121,8128,591,PT5M35S
592,WXFyiaRbQ3A,161584,3570,189,PT3M1S
593,JwpAftZ_1aw,107460,1160,43,PT1M49S
594,pd8r_KM0BbA,446639,6991,397,PT7M22S
595,k1LNjxZ6iHM,325745,6375,354,PT9M16S
